Iniciando processamento de lotes
Total de lotes encontrados: 924


Imoveis que sofreram mudanca na area:
Lote 01-28-100 (antigo 32-09-100) sofreu mudanca na area, de (registro): 500.0 para: 3563.619085720067 (area geometria)
Lote 01-28-122 sofreu mudanca na area, de (registro): 3000.0 para: 1750.0157449033034 (area geometria)
Lote 01-31-395 sofreu mudanca na area, de (registro): 192.8 para: 111.73695765582204 (area geometria)
Lote 01-30-155 sofreu mudanca na area, de (registro): 189.0 para: 257.01007784955937 (area geometria)
Lote 01-30-145 sofreu mudanca na area, de (registro): 200.0 para: 274.9514949138329 (area geometria)
Lote 01-10-190 sofreu mudanca na area, de (registro): 178.21 para: 273.09558737953057 (area geometria)

Rotulos nao encontrados:
Rotulo do lote 01-31-138 nao encontrado.

Imoveis 'CONSTRUIDOS' mas sem coberturas vetorizadas:

Logradouros nao mapeados na vetorização:
Logradouro do endereco do imovel 01-16-44 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-58 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-16-79 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-114 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-16-135 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-155 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-183 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-192 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-13-153 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-13-110 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-13-119 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-13-10 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-13-128 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-15-160 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-177 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-224 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-265 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-270 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-245 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-15-197 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-17-08 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-21 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-31 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-26 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-41 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-36 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-17-51 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-19-151 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-19-141 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-19-136 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-19-117 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-18-130 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-20-107 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-20-81 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-20-30 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-20 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-10 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-76 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-28-122 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 55, nome BRO NOVO HORIZONTE
Logradouro do endereco do imovel 01-16-44 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-58 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-16-79 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-114 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-16-135 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-155 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-183 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
Logradouro do endereco do imovel 01-16-192 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1041, nome RUA PROJETADA 13 (NOVO HORIZONTE) (ANTIGA 17)
